Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
scaffold532	KQ039893.1	NW_013186141.1	68031	488
scaffold719	KQ039894.1	NW_013186142.1	67999	489
scaffold227	KQ039895.1	NW_013186143.1	65338	490
scaffold950	KQ039896.1	NW_013186144.1	64555	491
scaffold343	KQ039897.1	NW_013186145.1	63807	492
scaffold522	KQ039898.1	NW_013186146.1	63516	493
scaffold589	KQ039899.1	NW_013186147.1	62893	494
scaffold840	KQ039900.1	NW_013186148.1	61866	495
scaffold472	KQ039901.1	NW_013186149.1	60565	496
scaffold335	KQ039902.1	NW_013186150.1	60251	497
scaffold362	KQ039903.1	NW_013186151.1	60077	498
scaffold554	KQ039904.1	NW_013186152.1	58451	499
scaffold700	KQ039905.1	NW_013186153.1	58127	500
scaffold401	KQ039906.1	NW_013186154.1	57396	501
scaffold694	KQ039907.1	NW_013186155.1	57323	502
scaffold398	KQ039908.1	NW_013186156.1	55245	503
scaffold1076	KQ039909.1	NW_013186157.1	54653	504
scaffold553	KQ039910.1	NW_013186158.1	53590	505
scaffold584	KQ039911.1	NW_013186159.1	53431	506
scaffold233	KQ039912.1	NW_013186160.1	53233	507
scaffold964	KQ039913.1	NW_013186161.1	52992	508
scaffold668	KQ039914.1	NW_013186162.1	52710	509
scaffold341	KQ039915.1	NW_013186163.1	51929	510
scaffold727	KQ039916.1	NW_013186164.1	51731	511
scaffold646	KQ039917.1	NW_013186165.1	51208	512
scaffold509	KQ039918.1	NW_013186166.1	50641	513
scaffold704	KQ039919.1	NW_013186167.1	49917	514
scaffold521	KQ039920.1	NW_013186168.1	49136	515
scaffold725	KQ039921.1	NW_013186169.1	49133	516
scaffold338	KQ039922.1	NW_013186170.1	49076	517
scaffold754	KQ039923.1	NW_013186171.1	49070	518
scaffold824	KQ039924.1	NW_013186172.1	49060	519
scaffold581	KQ039925.1	NW_013186173.1	48816	520
scaffold989	KQ039926.1	NW_013186174.1	47731	521
scaffold593	KQ039927.1	NW_013186175.1	47210	522
scaffold514	KQ039928.1	NW_013186176.1	46723	523
scaffold540	KQ039929.1	NW_013186177.1	46304	524
scaffold938	KQ039930.1	NW_013186178.1	46233	525
scaffold575	KQ039931.1	NW_013186179.1	45310	526
scaffold643	KQ039932.1	NW_013186180.1	45285	527
scaffold812	KQ039933.1	NW_013186181.1	45265	528
scaffold336	KQ039934.1	NW_013186182.1	45233	529
scaffold259	KQ039935.1	NW_013186183.1	44285	530
scaffold305	KQ039936.1	NW_013186184.1	44121	531
scaffold523	KQ039937.1	NW_013186185.1	43948	532
scaffold238	KQ039938.1	NW_013186186.1	43915	533
scaffold197	KQ039939.1	NW_013186187.1	43544	534
scaffold1393	KQ039940.1	NW_013186188.1	42220	535
scaffold454	KQ039941.1	NW_013186189.1	41933	536
scaffold206	KQ039942.1	NW_013186190.1	41532	537
scaffold406	KQ039943.1	NW_013186191.1	41391	538
scaffold298	KQ039944.1	NW_013186192.1	40860	539
scaffold795	KQ039945.1	NW_013186193.1	40448	540
scaffold563	KQ039946.1	NW_013186194.1	39625	541
scaffold534	KQ039947.1	NW_013186195.1	39437	542
scaffold738	KQ039948.1	NW_013186196.1	39050	543
scaffold638	KQ039949.1	NW_013186197.1	38846	544
scaffold674	KQ039950.1	NW_013186198.1	38216	545
scaffold524	KQ039951.1	NW_013186199.1	38094	546
scaffold1033	KQ039952.1	NW_013186200.1	37542	547
scaffold178	KQ039953.1	NW_013186201.1	37426	548
scaffold475	KQ039954.1	NW_013186202.1	37037	549
scaffold1020	KQ039955.1	NW_013186203.1	36907	550
scaffold443	KQ039956.1	NW_013186204.1	36151	551
scaffold732	KQ039957.1	NW_013186205.1	35730	552
scaffold663	KQ039958.1	NW_013186206.1	34990	553
scaffold636	KQ039959.1	NW_013186207.1	33084	554
scaffold733	KQ039960.1	NW_013186208.1	32866	555
scaffold551	KQ039961.1	NW_013186209.1	32744	556
scaffold504	KQ039962.1	NW_013186210.1	32392	557
scaffold945	KQ039963.1	NW_013186211.1	32162	558
scaffold635	KQ039964.1	NW_013186212.1	31788	559
scaffold544	KQ039965.1	NW_013186213.1	31115	560
scaffold791	KQ039966.1	NW_013186214.1	30967	561
scaffold232	KQ039967.1	NW_013186215.1	30779	562
scaffold653	KQ039968.1	NW_013186216.1	30510	563
scaffold654	KQ039969.1	NW_013186217.1	29959	564
scaffold413	KQ039970.1	NW_013186218.1	29876	565
scaffold693	KQ039971.1	NW_013186219.1	29529	566
scaffold982	KQ039972.1	NW_013186220.1	29169	567
scaffold613	KQ039973.1	NW_013186221.1	28923	568
scaffold810	KQ039974.1	NW_013186222.1	28905	569
scaffold579	KQ039975.1	NW_013186223.1	28846	570
scaffold1065	KQ039976.1	NW_013186224.1	28362	571
scaffold1504	KQ039977.1	NW_013186225.1	28166	572
scaffold811	KQ039978.1	NW_013186226.1	27447	573
scaffold191	KQ039979.1	NW_013186227.1	27342	574
scaffold1126	KQ039980.1	NW_013186228.1	27291	575
scaffold708	KQ039981.1	NW_013186229.1	27027	576
scaffold468	KQ039982.1	NW_013186230.1	26806	577
scaffold576	KQ039983.1	NW_013186231.1	26647	578
scaffold616	KQ039984.1	NW_013186232.1	26056	579
scaffold580	KQ039985.1	NW_013186233.1	26036	580
scaffold659	KQ039986.1	NW_013186234.1	24988	581
scaffold460	KQ039987.1	NW_013186235.1	24565	582
scaffold290	KQ039988.1	NW_013186236.1	24424	583
scaffold533	KQ039989.1	NW_013186237.1	24255	584
scaffold507	KQ039990.1	NW_013186238.1	24116	585
scaffold597	KQ039991.1	NW_013186239.1	24049	586
scaffold972	KQ039992.1	NW_013186240.1	23845	587
scaffold1145	KQ039993.1	NW_013186241.1	22901	588
scaffold626	KQ039994.1	NW_013186242.1	22540	589
scaffold216	KQ039995.1	NW_013186243.1	22427	590
scaffold900	KQ039996.1	NW_013186244.1	22250	591
scaffold703	KQ039997.1	NW_013186245.1	21803	592
scaffold740	KQ039998.1	NW_013186246.1	21725	593
scaffold724	KQ039999.1	NW_013186247.1	21365	594
scaffold699	KQ040000.1	NW_013186248.1	21213	595
scaffold317	KQ040001.1	NW_013186249.1	21027	596
scaffold1027	KQ040002.1	NW_013186250.1	21011	597
scaffold749	KQ040003.1	NW_013186251.1	20275	598
scaffold819	KQ040004.1	NW_013186252.1	20197	599
scaffold944	KQ040005.1	NW_013186253.1	20029	600
scaffold736	KQ040006.1	NW_013186254.1	19751	601
scaffold707	KQ040007.1	NW_013186255.1	19552	602
scaffold686	KQ040008.1	NW_013186256.1	19500	603
scaffold526	KQ040009.1	NW_013186257.1	19436	604
scaffold747	KQ040010.1	NW_013186258.1	19356	605
scaffold261	KQ040011.1	NW_013186259.1	19351	606
scaffold936	KQ040012.1	NW_013186260.1	19260	607
scaffold712	KQ040013.1	NW_013186261.1	19175	608
scaffold566	KQ040014.1	NW_013186262.1	19084	609
scaffold899	KQ040015.1	NW_013186263.1	19013	610
scaffold122	KQ040016.1	NW_013186264.1	18918	611
scaffold572	KQ040017.1	NW_013186265.1	18880	612
scaffold787	KQ040018.1	NW_013186266.1	18779	613
scaffold1181	KQ040019.1	NW_013186267.1	18618	614
scaffold831	KQ040020.1	NW_013186268.1	18607	615
scaffold879	KQ040021.1	NW_013186269.1	18588	616
scaffold790	KQ040022.1	NW_013186270.1	18531	617
scaffold761	KQ040023.1	NW_013186271.1	18410	618
scaffold862	KQ040024.1	NW_013186272.1	18380	619
scaffold745	KQ040025.1	NW_013186273.1	18181	620
scaffold484	KQ040026.1	NW_013186274.1	18086	621
scaffold770	KQ040027.1	NW_013186275.1	18029	622
scaffold792	KQ040028.1	NW_013186276.1	17657	623
scaffold629	KQ040029.1	NW_013186277.1	17539	624
scaffold494	KQ040030.1	NW_013186278.1	17486	625
scaffold528	KQ040031.1	NW_013186279.1	17307	626
scaffold1183	KQ040032.1	NW_013186280.1	17115	627
scaffold849	KQ040033.1	NW_013186281.1	17089	628
scaffold1139	KQ040034.1	NW_013186282.1	16952	629
MT	na	NC_023832.1	16739	630
scaffold710	KQ040035.1	NW_013186283.1	16713	631
scaffold396	KQ040036.1	NW_013186284.1	16674	632
scaffold1359	KQ040037.1	NW_013186285.1	16591	633
scaffold600	KQ040038.1	NW_013186286.1	16524	634
scaffold366	KQ040039.1	NW_013186287.1	16041	635
scaffold981	KQ040040.1	NW_013186288.1	15940	636
scaffold1218	KQ040041.1	NW_013186289.1	15811	637
scaffold756	KQ040042.1	NW_013186290.1	15763	638
scaffold669	KQ040043.1	NW_013186291.1	15682	639
scaffold869	KQ040044.1	NW_013186292.1	15293	640
scaffold640	KQ040045.1	NW_013186293.1	15076	641
scaffold937	AOGC01091376.1	NW_013186294.1	14776	642
scaffold1474	KQ040046.1	NW_013186295.1	14693	643
scaffold665	KQ040047.1	NW_013186296.1	14453	644
scaffold1419	KQ040048.1	NW_013186297.1	14362	645
scaffold702	KQ040049.1	NW_013186298.1	14339	646
scaffold771	KQ040050.1	NW_013186299.1	13905	647
scaffold911	KQ040051.1	NW_013186300.1	13682	648
scaffold934	KQ040052.1	NW_013186301.1	13664	649
scaffold803	KQ040053.1	NW_013186302.1	13648	650
scaffold698	KQ040054.1	NW_013186303.1	13579	651
scaffold828	KQ040055.1	NW_013186304.1	13437	652
scaffold1015	KQ040056.1	NW_013186305.1	13417	653
scaffold490	KQ040057.1	NW_013186306.1	12957	654
scaffold965	KQ040058.1	NW_013186307.1	12673	655
scaffold543	KQ040059.1	NW_013186308.1	12227	656
scaffold971	KQ040060.1	NW_013186309.1	12203	657
scaffold604	KQ040061.1	NW_013186310.1	12149	658
scaffold878	KQ040062.1	NW_013186311.1	12070	659
scaffold1246	KQ040063.1	NW_013186312.1	12062	660
scaffold688	KQ040064.1	NW_013186313.1	12045	661
scaffold678	KQ040065.1	NW_013186314.1	11988	662
scaffold705	KQ040066.1	NW_013186315.1	11904	663
scaffold1170	KQ040067.1	NW_013186316.1	11761	664
scaffold645	AOGC01080787.1	NW_013186317.1	11745	665
scaffold881	KQ040068.1	NW_013186318.1	11716	666
scaffold902	KQ040069.1	NW_013186319.1	11676	667
scaffold571	KQ040070.1	NW_013186320.1	11538	668
scaffold928	KQ040071.1	NW_013186321.1	11310	669
scaffold1156	KQ040072.1	NW_013186322.1	11249	670
scaffold994	KQ040073.1	NW_013186323.1	11213	671
scaffold715	KQ040074.1	NW_013186324.1	11191	672
scaffold1012	KQ040075.1	NW_013186325.1	10957	673
scaffold1282	KQ040076.1	NW_013186326.1	10956	674
scaffold1235	KQ040077.1	NW_013186327.1	10944	675
scaffold875	KQ040078.1	NW_013186328.1	10933	676
scaffold922	KQ040079.1	NW_013186329.1	10894	677
scaffold1396	AOGC01084622.1	NW_013186330.1	10881	678
scaffold615	KQ040080.1	NW_013186331.1	10877	679
scaffold152	KQ040081.1	NW_013186332.1	10876	680
scaffold596	KQ040082.1	NW_013186333.1	10849	681
scaffold696	KQ040083.1	NW_013186334.1	10784	682
scaffold1237	KQ040084.1	NW_013186335.1	10736	683
scaffold512	KQ040085.1	NW_013186336.1	10715	684
scaffold662	KQ040086.1	NW_013186337.1	10692	685
scaffold980	KQ040087.1	NW_013186338.1	10572	686
scaffold476	KQ040088.1	NW_013186339.1	10322	687
scaffold932	KQ040089.1	NW_013186340.1	10275	688
scaffold1206	KQ040090.1	NW_013186341.1	10273	689
scaffold962	KQ040091.1	NW_013186342.1	10266	690
scaffold757	KQ040092.1	NW_013186343.1	10262	691
scaffold609	KQ040093.1	NW_013186344.1	10258	692
scaffold933	KQ040094.1	NW_013186345.1	10094	693
scaffold1405	KQ040095.1	NW_013186346.1	9999	694
scaffold1506	KQ040096.1	NW_013186347.1	9824	695
scaffold691	KQ040097.1	NW_013186348.1	9709	696
scaffold782	KQ040098.1	NW_013186349.1	9608	697
scaffold773	KQ040099.1	NW_013186350.1	9548	698
scaffold602	KQ040100.1	NW_013186351.1	9478	699
scaffold469	AOGC01076582.1	NW_013186352.1	9460	700
scaffold503	AOGC01077591.1	NW_013186353.1	9383	701
scaffold1044	KQ040101.1	NW_013186354.1	9366	702
scaffold1293	KQ040102.1	NW_013186355.1	9288	703
scaffold841	KQ040103.1	NW_013186356.1	9146	704
scaffold1182	KQ040104.1	NW_013186357.1	9130	705
scaffold857	KQ040105.1	NW_013186358.1	8876	706
scaffold539	KQ040106.1	NW_013186359.1	8848	707
scaffold498	KQ040107.1	NW_013186360.1	8778	708
scaffold1455	KQ040108.1	NW_013186361.1	8672	709
scaffold676	KQ040109.1	NW_013186362.1	8592	710
scaffold998	KQ040110.1	NW_013186363.1	8493	711
scaffold470	KQ040111.1	NW_013186364.1	8485	712
scaffold467	KQ040112.1	NW_013186365.1	8178	713
scaffold891	KQ040113.1	NW_013186366.1	8125	714
scaffold1013	KQ040114.1	NW_013186367.1	8121	715
scaffold1038	KQ040115.1	NW_013186368.1	8087	716
scaffold961	KQ040116.1	NW_013186369.1	8065	717
scaffold1515	KQ040117.1	NW_013186370.1	8062	718
scaffold1202	KQ040118.1	NW_013186371.1	8023	719
scaffold949	KQ040119.1	NW_013186372.1	7967	720
scaffold690	KQ040120.1	NW_013186373.1	7669	721
scaffold1132	KQ040121.1	NW_013186374.1	7662	722
scaffold692	KQ040122.1	NW_013186375.1	7599	723
scaffold677	KQ040123.1	NW_013186376.1	7542	724
scaffold1026	KQ040124.1	NW_013186377.1	7481	725
scaffold462	KQ040125.1	NW_013186378.1	7458	726
scaffold775	KQ040126.1	NW_013186379.1	7444	727
scaffold680	KQ040127.1	NW_013186380.1	7405	728
scaffold1314	KQ040128.1	NW_013186381.1	7403	729
scaffold1312	KQ040129.1	NW_013186382.1	7253	730
scaffold729	KQ040130.1	NW_013186383.1	7201	731
scaffold871	KQ040131.1	NW_013186384.1	7166	732
scaffold1356	KQ040132.1	NW_013186385.1	7138	733
scaffold1315	AOGC01084501.1	NW_013186386.1	7113	734
scaffold1469	KQ040133.1	NW_013186387.1	7003	735
scaffold714	AOGC01081827.1	NW_013186388.1	6950	736
scaffold1099	KQ040134.1	NW_013186389.1	6936	737
scaffold786	AOGC01082370.1	NW_013186390.1	6914	738
scaffold582	KQ040135.1	NW_013186391.1	6888	739
scaffold641	KQ040136.1	NW_013186392.1	6855	740
scaffold1233	AOGC01084486.1	NW_013186394.1	6794	741
scaffold1230	KQ040137.1	NW_013186393.1	6794	742
scaffold1066	KQ040138.1	NW_013186395.1	6790	743
scaffold785	KQ040139.1	NW_013186396.1	6702	744
scaffold889	KQ040140.1	NW_013186397.1	6593	745
scaffold1050	KQ040141.1	NW_013186398.1	6496	746
scaffold210	KQ040142.1	NW_013186399.1	6450	747
scaffold956	KQ040143.1	NW_013186400.1	6436	748
scaffold1212	KQ040144.1	NW_013186401.1	6423	749
scaffold765	KQ040145.1	NW_013186402.1	6397	750
scaffold823	KQ040146.1	NW_013186403.1	6388	751
scaffold622	KQ040147.1	NW_013186404.1	6358	752
scaffold1511	KQ040148.1	NW_013186405.1	6355	753
scaffold1215	AOGC01084352.1	NW_013186406.1	6348	754
scaffold1122	KQ040149.1	NW_013186407.1	6329	755
scaffold781	KQ040150.1	NW_013186408.1	6301	756
scaffold651	KQ040151.1	NW_013186409.1	6288	757
scaffold1149	KQ040152.1	NW_013186410.1	6268	758
scaffold661	KQ040153.1	NW_013186411.1	6193	759
scaffold1031	KQ040154.1	NW_013186412.1	6182	760
scaffold921	KQ040155.1	NW_013186413.1	6158	761
scaffold697	KQ040156.1	NW_013186414.1	6146	762
scaffold627	KQ040157.1	NW_013186415.1	6102	763
scaffold634	KQ040158.1	NW_013186416.1	6097	764
scaffold355	KQ040159.1	NW_013186417.1	6084	765
scaffold1136	KQ040160.1	NW_013186418.1	6072	766
scaffold1187	AOGC01084239.1	NW_013186419.1	6047	767
scaffold1080	KQ040161.1	NW_013186420.1	6033	768
scaffold996	KQ040162.1	NW_013186421.1	6011	769
scaffold1069	KQ040163.1	NW_013186422.1	5988	770
scaffold428	KQ040164.1	NW_013186423.1	5968	771
scaffold545	KQ040165.1	NW_013186424.1	5963	772
scaffold1416	KQ040166.1	NW_013186425.1	5905	773
scaffold1177	KQ040167.1	NW_013186426.1	5899	774
scaffold637	KQ040168.1	NW_013186427.1	5899	775
scaffold657	KQ040169.1	NW_013186428.1	5891	776
scaffold743	KQ040170.1	NW_013186429.1	5883	777
scaffold837	KQ040171.1	NW_013186430.1	5877	778
scaffold1184	KQ040172.1	NW_013186431.1	5861	779
scaffold483	KQ040173.1	NW_013186432.1	5858	780
scaffold1459	AOGC01084706.1	NW_013186433.1	5844	781
scaffold1058	KQ040174.1	NW_013186434.1	5844	782
scaffold1063	KQ040175.1	NW_013186435.1	5842	783
scaffold1085	KQ040176.1	NW_013186436.1	5831	784
scaffold742	KQ040177.1	NW_013186437.1	5820	785
scaffold734	KQ040178.1	NW_013186438.1	5799	786
scaffold1480	KQ040179.1	NW_013186439.1	5798	787
scaffold1383	KQ040180.1	NW_013186440.1	5797	788
scaffold1234	KQ040181.1	NW_013186441.1	5712	789
scaffold1353	KQ040182.1	NW_013186442.1	5700	790
scaffold1501	KQ040183.1	NW_013186443.1	5695	791
scaffold542	AOGC01078643.1	NW_013186444.1	5681	792
scaffold1028	KQ040184.1	NW_013186445.1	5677	793
scaffold264	KQ040185.1	NW_013186446.1	5666	794
scaffold1301	KQ040186.1	NW_013186447.1	5663	795
scaffold332	KQ040187.1	NW_013186448.1	5660	796
scaffold926	KQ040188.1	NW_013186449.1	5656	797
scaffold924	KQ040189.1	NW_013186450.1	5616	798
scaffold935	KQ040190.1	NW_013186451.1	5604	799
scaffold1231	KQ040191.1	NW_013186452.1	5593	800
scaffold1210	KQ040192.1	NW_013186453.1	5562	801
scaffold801	KQ040193.1	NW_013186454.1	5561	802
scaffold1403	KQ040194.1	NW_013186455.1	5505	803
scaffold1337	KQ040195.1	NW_013186456.1	5500	804
scaffold1297	KQ040196.1	NW_013186457.1	5480	805
scaffold1223	KQ040197.1	NW_013186458.1	5464	806
scaffold1490	AOGC01084745.1	NW_013186459.1	5453	807
scaffold1141	KQ040198.1	NW_013186460.1	5437	808
scaffold1349	KQ040199.1	NW_013186461.1	5420	809
scaffold1299	KQ040200.1	NW_013186462.1	5389	810
scaffold1397	KQ040201.1	NW_013186463.1	5358	811
scaffold1107	KQ040202.1	NW_013186464.1	5352	812
scaffold912	KQ040203.1	NW_013186465.1	5311	813
scaffold1452	AOGC01084692.1	NW_013186466.1	5222	814
scaffold405	KQ040204.1	NW_013186467.1	5184	815
scaffold1059	KQ040205.1	NW_013186468.1	5056	816
scaffold706	KQ040206.1	NW_013186469.1	5055	817
scaffold832	KQ040207.1	NW_013186470.1	5018	818
scaffold817	KQ040208.1	NW_013186471.1	4948	819
scaffold853	KQ040209.1	NW_013186472.1	4902	820
scaffold1385	KQ040210.1	NW_013186473.1	4894	821
scaffold372	KQ040211.1	NW_013186474.1	4795	822
C19212772	AOGC01091140.1	NW_013186475.1	4788	823
scaffold1516	AOGC01084895.1	NW_013186476.1	4770	824
C19211996	AOGC01091141.1	NW_013186477.1	4736	825
scaffold720	AOGC01081867.1	NW_013186478.1	4733	826
scaffold1295	KQ040212.1	NW_013186479.1	4664	827
scaffold456	AOGC01075807.1	NW_013186480.1	4473	828
C19206692	AOGC01091139.1	NW_013186481.1	4429	829
scaffold833	KQ040213.1	NW_013186482.1	4404	830
C19205500	AOGC01091138.1	NW_013186483.1	4369	831
scaffold291	AOGC01060663.1	NW_013186484.1	4296	832
scaffold752	KQ040214.1	NW_013186485.1	4286	833
scaffold574	KQ040215.1	NW_013186486.1	4126	834
C19198564	AOGC01091142.1	NW_013186487.1	4083	835
scaffold1321	KQ040216.1	NW_013186488.1	3926	836
C19192664	AOGC01091133.1	NW_013186489.1	3885	837
scaffold384	KQ040217.1	NW_013186490.1	3857	838
C19191658	AOGC01091136.1	NW_013186491.1	3853	839
scaffold990	KQ040218.1	NW_013186492.1	3847	840
scaffold605	KQ040219.1	NW_013186493.1	3779	841
C19188028	AOGC01091135.1	NW_013186494.1	3752	842
scaffold485	KQ040220.1	NW_013186495.1	3609	843
C19181008	AOGC01091137.1	NW_013186496.1	3584	844
scaffold1053	AOGC01083989.1	NW_013186497.1	3564	845
C19179344	AOGC01091134.1	NW_013186498.1	3549	846
scaffold630	KQ040221.1	NW_013186499.1	3542	847
scaffold883	KQ040222.1	NW_013186500.1	3535	848
scaffold1492	KQ040223.1	NW_013186501.1	3528	849
scaffold1118	KQ040224.1	NW_013186502.1	3509	850
C19176438	AOGC01091132.1	NW_013186503.1	3489	851
scaffold1054	AOGC01084028.1	NW_013186504.1	3432	852
C19172632	AOGC01091131.1	NW_013186505.1	3417	853
C19172550	AOGC01091130.1	NW_013186506.1	3416	854
C19170413	AOGC01091127.1	NW_013186507.1	3376	855
scaffold1091	KQ040225.1	NW_013186508.1	3372	856
C19167351	AOGC01091129.1	NW_013186510.1	3324	857
scaffold1245	KQ040226.1	NW_013186509.1	3324	858
C19166575	AOGC01091125.1	NW_013186511.1	3312	859
C19166055	AOGC01091128.1	NW_013186512.1	3303	860
C19165619	AOGC01091126.1	NW_013186513.1	3296	861
C19165085	AOGC01091124.1	NW_013186514.1	3287	862
C19164647	AOGC01091122.1	NW_013186515.1	3281	863
C19164599	AOGC01091121.1	NW_013186516.1	3280	864
C19163891	AOGC01091123.1	NW_013186517.1	3269	865
scaffold854	KQ040227.1	NW_013186518.1	3257	866
C19162189	AOGC01091114.1	NW_013186520.1	3243	867
scaffold1257	KQ040228.1	NW_013186519.1	3243	868
scaffold1497	AOGC01084755.1	NW_013186521.1	3215	869
scaffold1451	KQ040229.1	NW_013186522.1	3178	870
scaffold1172	KQ040230.1	NW_013186523.1	3177	871
C19156633	AOGC01091119.1	NW_013186524.1	3159	872
C19154449	AOGC01091116.1	NW_013186525.1	3129	873
scaffold735	KQ040231.1	NW_013186526.1	3102	874
scaffold1032	KQ040232.1	NW_013186527.1	3094	875
scaffold1491	KQ040233.1	NW_013186528.1	3090	876
scaffold723	KQ040234.1	NW_013186529.1	3070	877
scaffold1460	KQ040235.1	NW_013186530.1	3065	878
scaffold671	KQ040236.1	NW_013186531.1	3062	879
scaffold746	KQ040237.1	NW_013186532.1	3061	880
scaffold867	KQ040238.1	NW_013186533.1	3061	881
C19148365	AOGC01091118.1	NW_013186534.1	3050	882
C19146553	AOGC01091120.1	NW_013186535.1	3027	883
scaffold1438	KQ040239.1	NW_013186536.1	3017	884
scaffold851	AOGC01082806.1	NW_013186537.1	3015	885
scaffold1163	KQ040240.1	NW_013186538.1	3011	886
scaffold731	AOGC01081925.1	NW_013186539.1	3000	887
C19143709	AOGC01091117.1	NW_013186540.1	2993	888
C19142995	AOGC01091113.1	NW_013186541.1	2984	889
C19142617	AOGC01091115.1	NW_013186542.1	2979	890
scaffold986	KQ040241.1	NW_013186543.1	2971	891
scaffold1117	KQ040242.1	NW_013186544.1	2970	892
scaffold606	KQ040243.1	NW_013186545.1	2948	893
C19139271	AOGC01091110.1	NW_013186546.1	2940	894
C19139291	AOGC01091112.1	NW_013186547.1	2940	895
scaffold991	KQ040244.1	NW_013186548.1	2924	896
scaffold873	KQ040245.1	NW_013186549.1	2914	897
C19136509	AOGC01091111.1	NW_013186550.1	2909	898
scaffold1355	KQ040246.1	NW_013186551.1	2905	899
scaffold763	KQ040247.1	NW_013186552.1	2901	900
scaffold1060	KQ040248.1	NW_013186553.1	2891	901
scaffold923	KQ040249.1	NW_013186554.1	2890	902
scaffold1154	KQ040250.1	NW_013186555.1	2881	903
C19133577	AOGC01091107.1	NW_013186556.1	2876	904
scaffold1422	KQ040251.1	NW_013186557.1	2875	905
scaffold1457	KQ040252.1	NW_013186558.1	2868	906
C19131271	AOGC01091105.1	NW_013186559.1	2852	907
scaffold1376	KQ040253.1	NW_013186560.1	2844	908
scaffold271	AOGC01056940.1	NW_013186561.1	2824	909
scaffold673	KQ040254.1	NW_013186562.1	2813	910
C19127093	AOGC01091106.1	NW_013186563.1	2809	911
scaffold1509	KQ040255.1	NW_013186564.1	2802	912
C19126195	AOGC01091109.1	NW_013186565.1	2800	913
scaffold1449	KQ040256.1	NW_013186566.1	2786	914
scaffold1159	KQ040257.1	NW_013186567.1	2780	915
scaffold739	KQ040258.1	NW_013186568.1	2756	916
C19121143	AOGC01091108.1	NW_013186569.1	2751	917
C19120625	AOGC01091103.1	NW_013186570.1	2746	918
scaffold1193	KQ040259.1	NW_013186571.1	2745	919
C19119723	AOGC01091104.1	NW_013186572.1	2738	920
scaffold1503	AOGC01084872.1	NW_013186573.1	2717	921
scaffold1166	KQ040260.1	NW_013186574.1	2715	922
scaffold1370	KQ040261.1	NW_013186575.1	2713	923
scaffold1512	KQ040262.1	NW_013186576.1	2709	924
scaffold918	KQ040263.1	NW_013186577.1	2703	925
